month,buyer_id,selected_vendor,purchase_quantity,min_quality_score
0,isp1,vendor2,29383,0.7
0,isp2,vendor2,23300,0.7
0,isp3,vendor2,17321,0.7
0,isp4,vendor2,293,0.7
0,isp5,vendor2,352,0.7
0,isp6,vendor2,470,0.7
0,isp7,vendor2,174,0.7
0,isp8,vendor2,524,0.7
0,isp9,vendor2,407,0.7
0,isp10,vendor2,346,0.7
0,isp11,vendor2,317,0.7
0,isp12,vendor2,548,0.7
1,isp1,vendor2,9739,0.7
1,isp2,vendor2,7655,0.7
1,isp3,vendor2,5640,0.7
1,isp4,vendor2,98,0.7
1,isp5,vendor2,117,0.7
1,isp6,vendor2,155,0.7
1,isp7,vendor2,58,0.7
1,isp8,vendor2,172,0.7
1,isp9,vendor2,134,0.7
1,isp10,vendor2,113,0.7
1,isp11,vendor2,103,0.7
1,isp12,vendor2,179,0.7
