month,isp_id,selected_vendor,purchase_quantity,min_quality_score
0,isp1,vendor2,29463,0.7
0,isp2,vendor2,23363,0.7
0,isp3,vendor2,17366,0.7
0,isp4,vendor2,373,0.7
0,isp5,vendor2,432,0.7
0,isp6,vendor2,550,0.7
0,isp7,vendor2,237,0.7
0,isp8,vendor2,587,0.7
0,isp9,vendor2,470,0.7
0,isp10,vendor2,392,0.7
0,isp11,vendor2,363,0.7
0,isp12,vendor2,594,0.7
1,isp1,vendor2,9336,0.7
1,isp2,vendor2,7338,0.7
1,isp3,vendor2,5406,0.7
1,isp4,vendor2,202,0.7
1,isp5,vendor2,220,0.7
1,isp6,vendor2,257,0.7
1,isp7,vendor2,140,0.7
1,isp8,vendor2,249,0.7
1,isp9,vendor2,213,0.7
1,isp10,vendor2,169,0.7
1,isp11,vendor2,160,0.7
1,isp12,vendor2,231,0.7
2,isp1,vendor2,6918,0.7
2,isp2,vendor2,5417,0.7
2,isp3,vendor2,3975,0.7
2,isp4,vendor2,202,0.7
2,isp5,vendor2,216,0.7
2,isp6,vendor2,243,0.7
2,isp7,vendor2,145,0.7
2,isp8,vendor2,224,0.7
2,isp9,vendor2,198,0.7
2,isp10,vendor2,154,0.7
2,isp11,vendor2,148,0.7
2,isp12,vendor2,200,0.7
